Country,Year,Points_type,From,To,Points
basel,2025,Points given by televoters,montenegro,luxembourg,8
basel,2025,Points given by televoters,montenegro,israel,7
basel,2025,Points given by televoters,montenegro,ukraine,6
basel,2025,Points given by televoters,montenegro,sweden,5
basel,2025,Points given by televoters,montenegro,greece,4
basel,2025,Points given by televoters,montenegro,austria,3
basel,2025,Points given by televoters,montenegro,france,2
basel,2025,Points given by televoters,montenegro,italy,1
basel,2025,Points given by the jury,montenegro,greece,12
basel,2025,Points given by the jury,montenegro,albania,10
basel,2025,Points given by the jury,montenegro,austria,8
basel,2025,Points given by the jury,montenegro,switzerland,7
basel,2025,Points given by the jury,montenegro,france,6
basel,2025,Points given by the jury,montenegro,malta,5
basel,2025,Points given by the jury,montenegro,luxembourg,4
basel,2025,Points given by the jury,montenegro,lithuania,3
basel,2025,Points given by the jury,montenegro,netherlands,2
basel,2025,Points given by the jury,montenegro,armenia,1
basel,2025,Points given by televoters,netherlands,israel,12
basel,2025,Points given by televoters,netherlands,poland,10
basel,2025,Points given by televoters,netherlands,estonia,8
basel,2025,Points given by televoters,netherlands,sweden,7
basel,2025,Points given by televoters,netherlands,finland,6
basel,2025,Points given by televoters,netherlands,greece,5
basel,2025,Points given by televoters,netherlands,ukraine,4
basel,2025,Points given by televoters,netherlands,austria,3
basel,2025,Points given by televoters,netherlands,italy,2
basel,2025,Points given by televoters,netherlands,germany,1
basel,2025,Points given by the jury,netherlands,austria,12
basel,2025,Points given by the jury,netherlands,switzerland,10
basel,2025,Points given by the jury,netherlands,sweden,8
basel,2025,Points given by the jury,netherlands,portugal,7
basel,2025,Points given by the jury,netherlands,luxembourg,6
basel,2025,Points given by the jury,netherlands,israel,5
basel,2025,Points given by the jury,netherlands,lithuania,4
basel,2025,Points given by the jury,netherlands,latvia,3
basel,2025,Points given by the jury,netherlands,france,2
basel,2025,Points given by the jury,netherlands,albania,1
basel,2025,Points given by televoters,norway,sweden,12
basel,2025,Points given by televoters,norway,israel,10
basel,2025,Points given by televoters,norway,poland,8
basel,2025,Points given by televoters,norway,estonia,7
basel,2025,Points given by televoters,norway,finland,6
basel,2025,Points given by televoters,norway,netherlands,5
basel,2025,Points given by televoters,norway,lithuania,4
basel,2025,Points given by televoters,norway,iceland,3
basel,2025,Points given by televoters,norway,ukraine,2
basel,2025,Points given by televoters,norway,austria,1
basel,2025,Points given by the jury,norway,austria,12
basel,2025,Points given by the jury,norway,sweden,10
basel,2025,Points given by the jury,norway,finland,8
basel,2025,Points given by the jury,norway,united kingdom,7
basel,2025,Points given by the jury,norway,latvia,6
basel,2025,Points given by the jury,norway,netherlands,5
basel,2025,Points given by the jury,norway,estonia,4
basel,2025,Points given by the jury,norway,switzerland,3
basel,2025,Points given by the jury,norway,france,2
basel,2025,Points given by the jury,norway,ukraine,1
basel,2025,Points given by televoters,poland,ukraine,12
basel,2025,Points given by televoters,poland,estonia,10
basel,2025,Points given by televoters,poland,sweden,8
basel,2025,Points given by televoters,poland,austria,7
basel,2025,Points given by televoters,poland,lithuania,6
basel,2025,Points given by televoters,poland,germany,5
basel,2025,Points given by televoters,poland,albania,4
basel,2025,Points given by televoters,poland,norway,3
basel,2025,Points given by televoters,poland,latvia,2
basel,2025,Points given by televoters,poland,finland,1
basel,2025,Points given by the jury,poland,switzerland,12
basel,2025,Points given by the jury,poland,netherlands,10
basel,2025,Points given by the jury,poland,italy,8
basel,2025,Points given by the jury,poland,austria,7
basel,2025,Points given by the jury,poland,lithuania,6
basel,2025,Points given by the jury,poland,albania,5
basel,2025,Points given by the jury,poland,greece,4
basel,2025,Points given by the jury,poland,france,3
basel,2025,Points given by the jury,poland,norway,2
basel,2025,Points given by the jury,poland,united kingdom,1
basel,2025,Points given by televoters,portugal,israel,12
basel,2025,Points given by televoters,portugal,ukraine,10
basel,2025,Points given by televoters,portugal,italy,8
basel,2025,Points given by televoters,portugal,austria,7
basel,2025,Points given by televoters,portugal,spain,6
basel,2025,Points given by televoters,portugal,france,5
basel,2025,Points given by televoters,portugal,sweden,4
basel,2025,Points given by televoters,portugal,netherlands,3
basel,2025,Points given by televoters,portugal,albania,2
basel,2025,Points given by televoters,portugal,estonia,1
basel,2025,Points given by the jury,portugal,italy,12
basel,2025,Points given by the jury,portugal,switzerland,10
basel,2025,Points given by the jury,portugal,ukraine,8
basel,2025,Points given by the jury,portugal,latvia,7
basel,2025,Points given by the jury,portugal,austria,6
basel,2025,Points given by the jury,portugal,netherlands,5
basel,2025,Points given by the jury,portugal,albania,4
basel,2025,Points given by the jury,portugal,estonia,3
basel,2025,Points given by the jury,portugal,united kingdom,2
basel,2025,Points given by the jury,portugal,greece,1
basel,2025,Points given by televoters,san marino,greece,12
basel,2025,Points given by televoters,san marino,israel,10
basel,2025,Points given by televoters,san marino,albania,8
basel,2025,Points given by televoters,san marino,estonia,7
basel,2025,Points given by televoters,san marino,poland,6
basel,2025,Points given by televoters,san marino,austria,5
basel,2025,Points given by televoters,san marino,ukraine,4
basel,2025,Points given by televoters,san marino,italy,3
basel,2025,Points given by televoters,san marino,netherlands,2
basel,2025,Points given by televoters,san marino,sweden,1
